ColoredMNIST, seed 1, 1 shot, weight 0.001, test_acc 49.66
ColoredMNIST, seed 1, 1 shot, weight 0.001, test_acc 49.66
ColoredMNIST, seed 1, 1 shot, weight 0.001, test_acc 49.66
ColoredMNIST, seed 1, 1 shot, weight 0.001, test_acc 49.66
ColoredMNIST, seed 1, 1 shot, weight 0.001, test_acc 49.66
ColoredMNIST, seed 1, 1 shot, weight 0.001, test_acc 49.66
ColoredMNIST, seed 1, 1 shot, weight 0.001, test_acc 49.66
ColoredMNIST, seed 1, 1 shot, weight 0.001, test_acc 49.66
ColoredMNIST, seed 2, 1 shot, weight 100000.0, test_acc 50.55
ColoredMNIST, seed 2, 1 shot, weight 100000.0, test_acc 50.55
ColoredMNIST, seed 2, 1 shot, weight 100000.0, test_acc 50.55
ColoredMNIST, seed 2, 1 shot, weight 100000.0, test_acc 50.55
ColoredMNIST, seed 2, 1 shot, weight 100000.0, test_acc 50.55
ColoredMNIST, seed 2, 1 shot, weight 100000.0, test_acc 50.55
ColoredMNIST, seed 2, 1 shot, weight 100000.0, test_acc 50.55
ColoredMNIST, seed 2, 1 shot, weight 100000.0, test_acc 50.55
ColoredMNIST, seed 3, 1 shot, weight 100000.0, test_acc 50.29
ColoredMNIST, seed 3, 1 shot, weight 100000.0, test_acc 50.29
ColoredMNIST, seed 3, 1 shot, weight 100000.0, test_acc 50.29
ColoredMNIST, seed 3, 1 shot, weight 100000.0, test_acc 50.29
ColoredMNIST, seed 3, 1 shot, weight 100000.0, test_acc 50.29
ColoredMNIST, seed 3, 1 shot, weight 100000.0, test_acc 50.29
ColoredMNIST, seed 3, 1 shot, weight 100000.0, test_acc 50.29
ColoredMNIST, seed 3, 1 shot, weight 100000.0, test_acc 50.29
ColoredMNIST, seed 1, 2 shot, weight 0.1, test_acc 49.49
ColoredMNIST, seed 1, 2 shot, weight 0.1, test_acc 49.49
ColoredMNIST, seed 1, 2 shot, weight 0.1, test_acc 49.49
ColoredMNIST, seed 1, 2 shot, weight 0.1, test_acc 49.49
ColoredMNIST, seed 1, 2 shot, weight 0.1, test_acc 49.49
ColoredMNIST, seed 1, 2 shot, weight 0.1, test_acc 49.49
ColoredMNIST, seed 1, 2 shot, weight 0.1, test_acc 49.49
ColoredMNIST, seed 1, 2 shot, weight 0.1, test_acc 49.49
ColoredMNIST, seed 2, 2 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 2, 2 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 2, 2 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 2, 2 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 2, 2 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 2, 2 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 2, 2 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 2, 2 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 3, 2 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 3, 2 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 3, 2 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 3, 2 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 3, 2 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 3, 2 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 3, 2 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 3, 2 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 1, 4 shot, weight 1e-05, test_acc 49.66
ColoredMNIST, seed 1, 4 shot, weight 1e-05, test_acc 49.66
ColoredMNIST, seed 1, 4 shot, weight 1e-05, test_acc 49.66
ColoredMNIST, seed 1, 4 shot, weight 1e-05, test_acc 49.66
ColoredMNIST, seed 1, 4 shot, weight 1e-05, test_acc 49.66
ColoredMNIST, seed 1, 4 shot, weight 1e-05, test_acc 49.66
ColoredMNIST, seed 1, 4 shot, weight 1e-05, test_acc 49.66
ColoredMNIST, seed 1, 4 shot, weight 1e-05, test_acc 49.66
ColoredMNIST, seed 2, 4 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 2, 4 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 2, 4 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 2, 4 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 2, 4 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 2, 4 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 2, 4 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 2, 4 shot, weight 1e-05, test_acc 50.41
ColoredMNIST, seed 3, 4 shot, weight 1000.0, test_acc 49.76
ColoredMNIST, seed 3, 4 shot, weight 1000.0, test_acc 49.76
ColoredMNIST, seed 3, 4 shot, weight 3162.2776601683795, test_acc 49.76
ColoredMNIST, seed 3, 4 shot, weight 3162.2776601683795, test_acc 49.76
